review_id,repo,filename,stratum,local_path,final_label,adjudication_rule,adjudication_basis,adjudication_note
A0001,vicharanashala/ajrasakha,build_and_deploy_reviewer.yml,S2_secret_only,data/raw/vicharanashala__ajrasakha__build_and_deploy_reviewer.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0014,DresdenGman/EPSILON-trading-simulator,impact-snapshot.yml,S3_sink_only,data/raw/DresdenGman__EPSILON-trading-simulator__impact-snapshot.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0015,innate-inc/innate-os,format.yml,S4_neither,data/raw/innate-inc__innate-os__format.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0016,loteran/Arctis-Sound-Manager,ppa-upload.yaml,S1_secret_and_sink,data/raw/loteran__Arctis-Sound-Manager__ppa-upload.yaml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0017,gonzalezpazmonica/pm-workspace,pr-guardian.yml,S1_secret_and_sink,data/raw/gonzalezpazmonica__pm-workspace__pr-guardian.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0018,mathematic-inc/ts-japi,hk.yml,S4_neither,data/raw/mathematic-inc__ts-japi__hk.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0019,Significant-Gravitas/AutoGPT,classic-python-checks.yml,S3_sink_only,data/raw/Significant-Gravitas__AutoGPT__classic-python-checks.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0020,RoboVerseOrg/RoboVerse,metasim-premerge.yml,S1_secret_and_sink,data/raw/RoboVerseOrg__RoboVerse__metasim-premerge.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0021,nebulastream/nebulastream,build_and_test.yml,S2_secret_only,data/raw/nebulastream__nebulastream__build_and_test.yml,UNCLEAR,U2,arbiter:nhi,"[U2] src=SCCACHE_CACHE_ACCESS_KEY@56, SCCACHE_CACHE_SECRET_KEY@57, DOCKER_SECRET@67 | path=secrets@54-57 -> with: cua ./.github/steps/setup-sccache@52 ; secrets@66-67 -> with: cua ./.github/steps/prepare-github@59 | sink=khong xac dinh duoc | why=cac secret deu di vao composite action noi bo repo (.github/steps/*), noi dung action.yml khong co trong Dataset A; cac block run@73-84,93-95,165-177 chi co cmake/ctest/sccache khong cham secret; CODECOV_TOKEN@130 -> codecov-action@126 la sink loai tru muc 2.2 (N3) | basis=arbiter:nhi | rev=v1.0"
A0022,rspatial/terra,lib-compat.yml,S3_sink_only,data/raw/rspatial__terra__lib-compat.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0023,xybrid-ai/xybrid,release-prep.yml,S1_secret_and_sink,data/raw/xybrid-ai__xybrid__release-prep.yml,UNCLEAR,U1,arbiter:nhi,"[U1] src=BUILDBUDDY_API_KEY@278, CARGOKIT_PRIVATE_KEY@349 | path=secrets.BUILDBUDDY_API_KEY@278 -> env@278 -> tools/scripts/write-buildbuddy-rc.sh@279 (lap lai @392,479,596,717,848) ; secrets.CARGOKIT_PRIVATE_KEY@349 + GITHUB_TOKEN@350 -> env@349-350 -> dart run bin/build_tool.dart precompile-binaries@352 (lap lai @669,808) | sink=khong xac dinh duoc | why=noi dung write-buildbuddy-rc.sh va cargokit build_tool.dart khong co trong Dataset A; cac duong con lai deu dong: GITHUB_TOKEN@1037 -> actions/checkout va GH_TOKEN@1145,1221 -> gh release create/upload@1180,1229 trong chinh repo, RELEASE_PAT@1260 -> gh pr create@1287, deu la sink loai tru muc 2.2 (N3) | basis=arbiter:nhi | rev=v1.0"
A0024,kolmafia/kolmafia,build.yml,S1_secret_and_sink,data/raw/kolmafia__kolmafia__build.yml,NO_EXFIL,N4,arbiter:nhi,"[N4] src=HOMEBREW_KOLMAFIA_TOKEN@132, GITHUB_TOKEN@112 | path=secrets.HOMEBREW_KOLMAFIA_TOKEN@132 -> header Authorization token@132 -> curl -X POST@129-133 | sink=curl@129 -> https://api.github.com/repos/kolmafia/homebrew-kolmafia/dispatches@133 (hardcode, repo cua chinh to chuc) | why=token GitHub gui o header de xac thuc voi api.github.com la chu so huu, dich hardcode va la repo cung to chuc kolmafia; body@134 chi chua version tu git tag khong chua secret; GITHUB_TOKEN@112 -> softprops/action-gh-release trong chinh repo (N3) | basis=arbiter:nhi | rev=v1.0"
A0025,fabriziosalmi/nis2-public,nis2.yml,S2_secret_only,data/raw/fabriziosalmi__nis2-public__nis2.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0026,lidge-jun/opencodex,cleanup-orphaned-workflows.yml,S2_secret_only,data/raw/lidge-jun__opencodex__cleanup-orphaned-workflows.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0027,Chieler/Summer-2027-SWE-Internships,daily-search.yml,S4_neither,data/raw/Chieler__Summer-2027-SWE-Internships__daily-search.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0028,Ameyanagi/ruviz,release.yml,S1_secret_and_sink,data/raw/Ameyanagi__ruviz__release.yml,NO_EXFIL,N4,arbiter:nhi,"[N4] src=CARGO_REGISTRY_TOKEN@615, GITHUB_TOKEN@47 | path=secrets.CARGO_REGISTRY_TOKEN@615 -> --token cua cargo publish@615 (lap lai @746,803,842) | sink=cargo publish@615 -> crates.io | why=token xac thuc voi dung crates.io la chu so huu; GITHUB_TOKEN@47 -> env -> scripts/wait_for_github_checks.py@65 chi doc GitHub API cua chinh repo; GITHUB_TOKEN@1068 -> softprops/action-gh-release trong chinh repo; curl@605,728,771,828 chi GET crates.io API khong mang secret; npm publish@937 dung OIDC khong co secret | basis=arbiter:nhi | rev=v1.0"
A0029,indigoai-us/hq-core,release.yml,S1_secret_and_sink,data/raw/indigoai-us__hq-core__release.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0030,gentoo-zh/overlay,pkgcheck.yml,S2_secret_only,data/raw/gentoo-zh__overlay__pkgcheck.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0031,rogerlew/wepppy,profile-legacy-palouse.yml,S1_secret_and_sink,data/raw/rogerlew__wepppy__profile-legacy-palouse.yml,UNCLEAR,U1,arbiter:nhi,"[U1] src=ADMIN_EMAIL@17, ADMIN_PASSWORD@18 | path=secrets@17-18 -> env cap job@15-18 -> ke thua sang moi step -> ./wctl/install.sh@50 va wctl run-test-profile@71 | sink=khong xac dinh duoc | why=ADMIN_EMAIL/ADMIN_PASSWORD dat o env cap job nen moi step deu ke thua; noi dung wctl/install.sh va binary wctl khong co trong Dataset A; curl@57 chi GET /health khong mang secret; upload-artifact@74 chi day log | basis=arbiter:nhi | rev=v1.0"
A0032,opencobra/swiglpk,build-sdist.yml,S3_sink_only,data/raw/opencobra__swiglpk__build-sdist.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0033,manhpham90vn/Deskhub,codeql.yml,S4_neither,data/raw/manhpham90vn__Deskhub__codeql.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0034,azukiazusa1/sapper-blog-app,actionlint.yaml,S3_sink_only,data/raw/azukiazusa1__sapper-blog-app__actionlint.yaml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0035,ifflagged/Seyoulala,Download-Z.yml,S1_secret_and_sink,data/raw/ifflagged__Seyoulala__Download-Z.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0036,SonarSource/slang,build.yml,S4_neither,data/raw/SonarSource__slang__build.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0037,moeru-ai/airi,release-pocket-ios.yml,S1_secret_and_sink,data/raw/moeru-ai__airi__release-pocket-ios.yml,UNCLEAR,U1,arbiter:nhi,"[U1] src=GITCODE_TOKEN@176, GITCODE_OWNER@177, GITCODE_REPO@178, GH_TOKEN@175 | path=secrets@175-178 -> env cua step@174-179 -> bash .github/scripts/publish-gitcode-release.sh@180 | sink=khong xac dinh duoc | why=noi dung publish-gitcode-release.sh khong co trong Dataset A, day la buoc day asset sang GitCode (ben thu ba, khong phai GitHub); cac duong khac dong: APPLE_DISTRIBUTION_CERT_BASE64@52 -> base64 decode -> file@59 roi security import@65 chi ghi keychain tren runner (N2), APPSTORE_CONNECT_API_KEY@139 -> apple-actions/upload-testflight-build@134 la xac thuc voi Apple chu so huu (N4) | basis=arbiter:nhi | rev=v1.0"
A0038,digRabbit/gitfinity,test_daily_commit.yml,S2_secret_only,data/raw/digRabbit__gitfinity__test_daily_commit.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0039,Shebyyy/AnymeX-Preview,fork_build_manual.yml,S1_secret_and_sink,data/raw/Shebyyy__AnymeX-Preview__fork_build_manual.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0040,mizchi/vibe-lang,flaker-scheduled.yml,S3_sink_only,data/raw/mizchi__vibe-lang__flaker-scheduled.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0041,myfriendqaz/LiveTVCollector,Movies-Bollywood.yml,S2_secret_only,data/raw/myfriendqaz__LiveTVCollector__Movies-Bollywood.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0042,ublue-os/ucore,reusable-build.yml,S1_secret_and_sink,data/raw/ublue-os__ucore__reusable-build.yml,NO_EXFIL,N4,arbiter:nhi,"[N4] src=SIGNING_SECRET@778, github.token@161 | path=secrets.SIGNING_SECRET@778 -> env COSIGN_PRIVATE_KEY@778 -> cosign sign --key env://COSIGN_PRIVATE_KEY@795 (lap lai @837/842, @887/890) | sink=cosign sign@795 -> ghcr.io/${{ github.repository_owner }} (registry chinh chu) | why=SIGNING_SECRET chi dung lam khoa ky cosign, chu ky day len GHCR cua chinh to chuc; github.token@161,538,632,643,650,932 -> podman/oras/cosign login ghcr.io la xac thuc voi dung dich vu so huu (N4) va la sink loai tru; GH_TOKEN@973 -> gh release create/edit@996,989 trong chinh repo (N3) | basis=arbiter:nhi | rev=v1.0"
A0043,sl5net/SL5-aura-service,mac_setup.yml,S1_secret_and_sink,data/raw/sl5net__SL5-aura-service__mac_setup.yml,UNCLEAR,U1,arbiter:nhi,"[U1] src=GITHUB_TOKEN@51 | path=secrets.GITHUB_TOKEN@51 -> env GITHUB_TOKEN@51 -> ./setup/macos_setup.sh@65 | sink=khong xac dinh duoc | why=noi dung setup/macos_setup.sh khong co trong Dataset A nen khong lan duoc duong di; block run@56-65 chi co chmod/echo/pwd/ls; curl@46 la Homebrew installer o step khac, sink loai tru muc 2.2, khong cham toi token | basis=arbiter:nhi | rev=v1.0"
A0044,kingowow/Kingo-vpn,kingo_vpn.yml,S1_secret_and_sink,data/raw/kingowow__Kingo-vpn__kingo_vpn.yml,NO_EXFIL,N4,arbiter:nhi,"[N4] src=PAT_TOKEN@103, PAT_TOKEN@19 | path=secrets.PAT_TOKEN@103 -> env PAT_TOKEN@103 -> noi suy vao remote URL git remote set-url origin https://x-access-token:${PAT_TOKEN}@github.com/${{ github.repository }}.git@107 -> git push@111 | sink=git push@111 -> github.com/${{ github.repository }}@107 (chinh repo) | why=PAT xac thuc voi GitHub cua chinh repo; curl@46,48 chi GET tu raw.githubusercontent.com trong danh sach SOURCES hardcode@28-32, khong mang secret; base64@72,80 chi xu ly noi dung config tai ve khong phai secret | basis=arbiter:nhi | rev=v1.0"
A0045,AOSC-Dev/aosc-os-abbs,tum-ci.yml,S1_secret_and_sink,data/raw/AOSC-Dev__aosc-os-abbs__tum-ci.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0046,adamw7/tools,packages-cleanup.yml,S1_secret_and_sink,data/raw/adamw7__tools__packages-cleanup.yml,NO_EXFIL,N4,arbiter:nhi,"[N4] src=GITHUB_TOKEN@127 | path=secrets.GITHUB_TOKEN@127 -> env GH_TOKEN@127 -> header Authorization Bearer@137 -> curl@135 | sink=curl@135 -> https://api.github.com/${1}/${OWNER}/packages/maven/${PACKAGE}@139 (hardcode api.github.com) | why=token xac thuc voi dung GitHub Packages API la chu so huu, OWNER tu github.repository_owner khong phai secre | basis=arbiter:nhi | rev=v1.0"
A0047,spring-projects/spring-amqp,release.yml,S2_secret_only,data/raw/spring-projects__spring-amqp__release.yml,UNCLEAR,U2,arbiter:nhi,"[U2] src=GPG_PRIVATE_KEY@27, ARTIFACTORY_PASSWORD@23, CENTRAL_TOKEN_PASSWORD@25 | path=9 secrets@19-27 -> secrets: cua reusable workflow spring-io/spring-github-workflows/.github/workflows/spring-artifactory-gradle-release.yml@main@15 | sink=khong xac dinh duoc | why=toan bo file chi la loi goi reusable workflow o repo khac, khong co step run: nao; noi dung spring-artifactory-gradle-release.yml khong co trong Dataset A | basis=arbiter:nhi | rev=v1.0"
A0048,irislib/iris-client,e2e-tests.yml,S4_neither,data/raw/irislib__iris-client__e2e-tests.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0049,keggin-CHN/Magic-Mirror,build-web.yaml,S1_secret_and_sink,data/raw/keggin-CHN__Magic-Mirror__build-web.yaml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0050,nextcloud/health,lint-php.yml,S2_secret_only,data/raw/nextcloud__health__lint-php.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0051,rustledger/rustledger,bench-pr.yml,S1_secret_and_sink,data/raw/rustledger__rustledger__bench-pr.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0052,Positronic-Robotics/positronic,announce-merged-pr.yaml,S1_secret_and_sink,data/raw/Positronic-Robotics__positronic__announce-merged-pr.yaml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0053,stajichlab/Phyling,build_fasttree.yml,S3_sink_only,data/raw/stajichlab__Phyling__build_fasttree.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0054,CortexLM/cortex,images.yml,S1_secret_and_sink,data/raw/CortexLM__cortex__images.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0055,dfrostar/neuralmind,sync-wiki.yml,S1_secret_and_sink,data/raw/dfrostar__neuralmind__sync-wiki.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0056,openclaw/openclaw,authorized-beta-focused-validation.yml,S4_neither,data/raw/openclaw__openclaw__authorized-beta-focused-validation.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0057,juergen2025sys/NETSHIELD,sniffcat_fetch.yml,S1_secret_and_sink,data/raw/juergen2025sys__NETSHIELD__sniffcat_fetch.yml,NO_EXFIL,N4,arbiter:nhi,"[N4] src=SNIFFCAT_TOKEN@51 (va _2/_3/_4@52-54) | path=secrets.SNIFFCAT_TOKEN@51 -> env@51 -> os.environ.get@137 -> AUTH_HEADERS X-Secret-Token@136-141 -> headers cua fetch@146 -> safe_urlopen@95 | sink=safe_urlopen@95 -> https://api.sniffcat.com/api/v1/blacklist@132 (dich co dinh, hardcode) | why=token gui trong header X-Secret-Token de xac thuc voi dung api.sniffcat.com la chu so huu; URL hardcode@131-134 khong phai bien; du lieu ghi ra sniffcat_ips.txt@187 la danh sach IP tra ve tu API, khong chua secret; upload-artifact@201 chi day file do | basis=arbiter:nhi | rev=v1.0"
A0058,teaconmc/Longjing,mod-team-anvilcraft-pigsplus.yaml,S2_secret_only,data/raw/teaconmc__Longjing__mod-team-anvilcraft-pigsplus.yaml,UNCLEAR,U1,arbiter:nhi,"[U1] src=BILUOCHUN_TOKEN@98, S3_ACCESS_KEY@114, S3_SECRET_KEY@115, S3_ENDPOINT@113 | path=secrets.BILUOCHUN_TOKEN@98 -> env@98 -> ./pre-server-test.sh@99 ; secrets@112-115 -> env@112-115 -> ./publish.sh@124 ; BILUOCHUN_TOKEN@130 -> ./failure-callback.sh@138 | sink=khong xac dinh duoc | why=noi dung build/pre-server-test.sh, publish.sh, failure-callback.sh khong co trong Dataset A; GITHUB_TOKEN@80 -> ./build.sh@82 cung nam trong script repo | basis=arbiter:nhi | rev=v1.0"
A0059,lelloman/rns-rs,esp32-release.yml,S3_sink_only,data/raw/lelloman__rns-rs__esp32-release.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0060,pikax/verter,integration-test.yml,S4_neither,data/raw/pikax__verter__integration-test.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0061,oneclickvirt/lxc_amd64_images,openeuler_x86_64.yml,S1_secret_and_sink,data/raw/oneclickvirt__lxc_amd64_images__openeuler_x86_64.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0062,epics-base/pvxs,ci-scripts-build.yml,S3_sink_only,data/raw/epics-base__pvxs__ci-scripts-build.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0063,yafeisun/v2raynode,collect_free_nodes.yml,S1_secret_and_sink,data/raw/yafeisun__v2raynode__collect_free_nodes.yml,UNCLEAR,U1,arbiter:nhi,"[U1] src=GITHUB_TOKEN@24 (GH_TOKEN cap job), GIT_EMAIL@121, GIT_NAME@122 | path=secrets.GITHUB_TOKEN@24 -> env GH_TOKEN cap job@22-24 -> ke thua sang step Run node collector@116 -> python3 src/main.py --update-github@131 | sink=khong xac dinh duoc | why=GH_TOKEN dat o env cap job nen step chay src/main.py ke thua duoc; noi dung src/main.py khong co trong Dataset A va co tham so --update-github goi y no dung token; ALL_PROXY/http_proxy@119,123-124 tro toi SOCKS5 cuc bo 127.0.0.1:40000 khong phai dich ngoai; GITHUB_TOKEN@30 -> actions/checkout va gh workflow run@203 trong chinh repo la sink loai tru (N3); GIT_EMAIL/GIT_NAME@174-175 chi vao git config cuc bo (N2) | basis=arbiter:nhi | rev=v1.0"
