review_id,bucket,final_label,rule,g1_source,g2_path,g3_sink,why,arbiter,guideline_rev
A0043,B2_DISAGREE,UNCLEAR,U1,GITHUB_TOKEN@51,secrets.GITHUB_TOKEN@51 -> env GITHUB_TOKEN@51 -> ./setup/macos_setup.sh@65,khong xac dinh duoc,"noi dung setup/macos_setup.sh khong co trong Dataset A nen khong lan duoc duong di; block run@56-65 chi co chmod/echo/pwd/ls; curl@46 la Homebrew installer o step khac, sink loai tru muc 2.2, khong cham toi token",nhi,v1.0
A0044,B4_SPOTCHECK,NO_EXFIL,N4,"PAT_TOKEN@103, PAT_TOKEN@19",secrets.PAT_TOKEN@103 -> env PAT_TOKEN@103 -> noi suy vao remote URL git remote set-url origin https://x-access-token:${PAT_TOKEN}@github.com/${{ github.repository }}.git@107 -> git push@111,git push@111 -> github.com/${{ github.repository }}@107 (chinh repo),"PAT xac thuc voi GitHub cua chinh repo; curl@46,48 chi GET tu raw.githubusercontent.com trong danh sach SOURCES hardcode@28-32, khong mang secret; base64@72,80 chi xu ly noi dung config tai ve khong phai secret",nhi,v1.0
A0046,B4_SPOTCHECK,NO_EXFIL,N4,GITHUB_TOKEN@127,secrets.GITHUB_TOKEN@127 -> env GH_TOKEN@127 -> header Authorization Bearer@137 -> curl@135,curl@135 -> https://api.github.com/${1}/${OWNER}/packages/maven/${PACKAGE}@139 (hardcode api.github.com),"token xac thuc voi dung GitHub Packages API la chu so huu, OWNER tu github.repository_owner khong phai secre",nhi,v1.0
A0047,B3_UNCLEAR,UNCLEAR,U2,"GPG_PRIVATE_KEY@27, ARTIFACTORY_PASSWORD@23, CENTRAL_TOKEN_PASSWORD@25",9 secrets@19-27 -> secrets: cua reusable workflow spring-io/spring-github-workflows/.github/workflows/spring-artifactory-gradle-release.yml@main@15,khong xac dinh duoc,"toan bo file chi la loi goi reusable workflow o repo khac, khong co step run: nao; noi dung spring-artifactory-gradle-release.yml khong co trong Dataset A",nhi,v1.0
A0057,B3_UNCLEAR,NO_EXFIL,N4,SNIFFCAT_TOKEN@51 (va _2/_3/_4@52-54),secrets.SNIFFCAT_TOKEN@51 -> env@51 -> os.environ.get@137 -> AUTH_HEADERS X-Secret-Token@136-141 -> headers cua fetch@146 -> safe_urlopen@95,"safe_urlopen@95 -> https://api.sniffcat.com/api/v1/blacklist@132 (dich co dinh, hardcode)","token gui trong header X-Secret-Token de xac thuc voi dung api.sniffcat.com la chu so huu; URL hardcode@131-134 khong phai bien; du lieu ghi ra sniffcat_ips.txt@187 la danh sach IP tra ve tu API, khong chua secret; upload-artifact@201 chi day file do",nhi,v1.0
A0058,B3_UNCLEAR,UNCLEAR,U1,"BILUOCHUN_TOKEN@98, S3_ACCESS_KEY@114, S3_SECRET_KEY@115, S3_ENDPOINT@113",secrets.BILUOCHUN_TOKEN@98 -> env@98 -> ./pre-server-test.sh@99 ; secrets@112-115 -> env@112-115 -> ./publish.sh@124 ; BILUOCHUN_TOKEN@130 -> ./failure-callback.sh@138,khong xac dinh duoc,"noi dung build/pre-server-test.sh, publish.sh, failure-callback.sh khong co trong Dataset A; GITHUB_TOKEN@80 -> ./build.sh@82 cung nam trong script repo",nhi,v1.0
A0063,B3_UNCLEAR,UNCLEAR,U1,"GITHUB_TOKEN@24 (GH_TOKEN cap job), GIT_EMAIL@121, GIT_NAME@122",secrets.GITHUB_TOKEN@24 -> env GH_TOKEN cap job@22-24 -> ke thua sang step Run node collector@116 -> python3 src/main.py --update-github@131,khong xac dinh duoc,"GH_TOKEN dat o env cap job nen step chay src/main.py ke thua duoc; noi dung src/main.py khong co trong Dataset A va co tham so --update-github goi y no dung token; ALL_PROXY/http_proxy@119,123-124 tro toi SOCKS5 cuc bo 127.0.0.1:40000 khong phai dich ngoai; GITHUB_TOKEN@30 -> actions/checkout va gh workflow run@203 trong chinh repo la sink loai tru (N3); GIT_EMAIL/GIT_NAME@174-175 chi vao git config cuc bo (N2)",nhi,v1.0
A0064,B3_UNCLEAR,UNCLEAR,U1,GITHUB_TOKEN@25 (GH_TOKEN cap job),secrets.GITHUB_TOKEN@25 -> env GH_TOKEN cap job@24-25 -> ke thua sang step Bump Versions@38 -> ./.github/workflows/bump-versions.sh@39,khong xac dinh duoc,noi dung bump-versions.sh khong co trong Dataset A; job trigger-deploy dung GH_TOKEN@65 -> gh workflow run@56 trong chinh repo la sink loai tru muc 2.2 (N3),nhi,v1.0
A0065,B3_UNCLEAR,NO_EXFIL,N4,"NPM_TOKEN@249, GATEWAY_TOKEN@36, GITHUB_TOKEN@334",secrets.NPM_TOKEN@249 -> env NODE_AUTH_TOKEN@249 -> npm publish --access public@251,"npm publish@251 -> registry.npmjs.org@202 (sink loai tru muc 2.2, xac thuc dung chu)","NPM_TOKEN xac thuc voi dung npm registry la chu so huu; GATEWAY_TOKEN@36,196 -> with.token cua actions/checkout la sink loai tru; GITHUB_TOKEN@334 -> softprops/action-gh-release trong chinh repo; cac script bash@54,100,106,112,155,159 khong co secret trong env cua step do; curl@152,294 tai binary tu github releases khong mang secret",nhi,v1.0
A0066,B3_UNCLEAR,NO_EXFIL,N4,STATIC_ANALYSIS_BOT_PRIVATE_KEY@242,secrets.STATIC_ANALYSIS_BOT_PRIVATE_KEY@242 -> with.private-key cua actions/create-github-app-token@239 -> outputs.token@251 -> with.token cua BitGo/install-github-release-binary@248,actions/create-github-app-token@239 -> GitHub App API cua chinh to chuc bitgo@243,"private key chi dung de doi lay app token voi GitHub, owner: bitgo va repositories: static-analysis@243-245 la cua chinh to chuc; token dan xuat chi dung de tai binary tu GitHub release cua ho; khong step nao co secret trong env kem lenh mang; curl@172-177 tai vacuum tu github releases khong mang secret",nhi,v1.0
A0068,B3_UNCLEAR,UNCLEAR,U1,OSC_PASSWORD@58,secrets.OSC_PASSWORD@58 -> env cua step@56-59 -> poetry run scratch-build-bot --from-stdin cleanup@53,khong xac dinh duoc,"scratch-build-bot la entry point Python trong repo, noi dung khong co trong Dataset A; ten bien OSC_PASSWORD/OSC_USER goi y xac thuc voi OBS nhung khong xac nhan duoc tinh",nhi,v1.0
A0069,B3_UNCLEAR,UNCLEAR,U2,GITHUB_TOKEN@16,secrets.GITHUB_TOKEN@16 -> env cua step@15-17 -> third-party action yoshi389111/github-profile-3d-contrib@0.6.0@14,khong xac dinh duoc,"noi dung action yoshi389111/github-profile-3d-contrib khong co trong Dataset A, action pin theo tag khong phai SHA; git push@24 dung credential cua actions/checkout trong chinh repo",nhi,v1.0
A0070,B4_SPOTCHECK,NO_EXFIL,N3,GITHUB_TOKEN@63,secrets.GITHUB_TOKEN@63 -> container.credentials.password@61-63 -> pull image ghcr.io/internationalcolorconsortium/iccdev@59,ghcr.io cua chinh to chuc (sink loai tru muc 2.2),"secret duy nhat trong file chi dung de pull container image tu ghcr chinh chu; moi checkout deu persist-credentials: false@81,90,251,260,418,427; cac step con chu dong unset GITHUB_TOKEN@99,227,269,437,454; Invoke-WebRequest@442 tai vcpkg deps tu github releases khong mang secret",nhi,v1.0
A0071,B4_SPOTCHECK,UNCLEAR,U2,"WORKFLOW_BUMP_TOKEN@96, GITHUB_TOKEN@96",secrets.WORKFLOW_BUMP_TOKEN || secrets.GITHUB_TOKEN@96 -> with.token cua third-party action peter-evans/create-pull-request@5f6978faf089d4d20b00c7766989d076bb2fc7f1@89,khong xac dinh duoc,"noi dung action peter-evans/create-pull-request khong co trong Dataset A; GH_TOKEN@25 -> gh api repos/google/osv-scanner@29 chi doc public API khong gui secret di dau; curl@58,65 tai file tu github releases khong mang secret; python3 .github/scripts/*.py@40,79 khong co secret trong env cua step do",nhi,v1.0
A0072,B3_UNCLEAR,NO_EXFIL,N4,"GITHUB_TOKEN@46 (lap lai @69,81,111,156)",secrets.GITHUB_TOKEN@156 -> env GH_TOKEN@156 -> base64 -w0@159 -> auth_header -> GIT_CONFIG_VALUE_0 AUTHORIZATION basic@163 va CR_TOKEN@164 -> git push@178 / cr index --push@198,git push@178 va cr index --push@198 -> https://github.com/${GITHUB_REPOSITORY}.git@177 (chinh repo),"GITHUB_TOKEN chi xac thuc voi GitHub cua chinh repo; gh api@49, gh release download@86, gh attestation verify@118 deu --repo $GITHUB_REPOSITORY; python3 release/authorize.py@74 va integrity.py@93 co GH_TOKEN trong env nhung tham so --repo cho thay chi goi GitHub API cua chinh repo; curl@144 tai chart-releaser tu github releases khong mang secret",nhi,v1.0
A0073,B3_UNCLEAR,NO_EXFIL,N4,"FLATHUB_TOKEN@252, GITHUB_TOKEN@58",secrets.FLATHUB_TOKEN@252 -> env GH_TOKEN@252 -> git push --force origin@296 va gh pr create --repo $PACKAGING_REPO@305-306,"github.com/flathub/com.github.IsmaelMartinez.teams_for_linux@45 (repo dich cua chinh maintainer, sink loai tru muc 2.2)","FLATHUB_TOKEN la token GitHub dung de push/mo PR sang repo packaging tren chinh GitHub, xac thuc voi dung chu so huu; GITHUB_TOKEN@58,98 -> gh release list/view/api deu --repo $GITHUB_REPOSITORY; curl@129-130 GET raw.githubusercontent.com khong mang secret; python3 heredoc@156-243 chi doc AMD64_SHA/ARM64_SHA/METAINFO_SHA khong phai secret",nhi,v1.0
A0074,B3_UNCLEAR,NO_EXFIL,N4,"PAT@1255, AZURE_STORAGE_CONNECTION_STRING@218","secrets.PAT@1255 -> noi suy truc tiep vao URL git push https://${{ secrets.PAT }}@github.com/${{ github.repository }}.git@1255 (lap lai @1357) ; secrets.AZURE_STORAGE_CONNECTION_STRING@218 -> env cua step Process apps@217-218 -> az storage blob upload/list/download@356,577,699,1007,1081",git push -> github.com/${{ github.repository }}@1255 (chinh repo) ; az storage blob upload@1081 -> Azure Storage cua chinh ho (intunebrew.blob.core.windows.net@1098),"PAT xac thuc voi GitHub cua chinh repo; connection string xac thuc voi Azure Storage la chu so huu, container pkg cua chinh ho; curl@470,502,635,750,822,843,851,901,926 chi tai artifact tu vendor URL khong mang secret; python .github/scripts/*.py@98,1309 khong co secret trong env cua step do",nhi,v1.0
A0077,B2_DISAGREE,UNCLEAR,U2,"APPSTORE_TOKEN@158, APP_PRIVATE_KEY@160",secrets.APPSTORE_TOKEN@158 + secrets.APP_PRIVATE_KEY@160 -> with: cua R0Wi/nextcloud-appstore-push-action@155,khong xac dinh duoc,"hai secret truyen vao third-party action, noi dung action khong co trong Dataset A; cac duong khac deu dong: APP_PRIVATE_KEY/APP_PUBLIC_CRT@104-105 -> file@118-119 -> occ integrity:sign-app@120 la ky cuc bo (N2), github.token@144 -> gh release upload@150 la sink loai tru muc 2.2 (N3)",nhi,v1.0
A0078,B4_SPOTCHECK,NO_EXFIL,N1,-,-,-,"khong co ${{ secrets.* }} nao trong file, khong co secrets: inherit; token lay tu Vault qua SonarSource/vault-action-wrapper@236 roi doc bang fromJSON(steps.secrets.outputs.vault)@243,282,322 - day la step output khong phai GitHub secret; curl@39,274 tai rustup khong mang secret",nhi,v1.0
A0085,B3_UNCLEAR,UNCLEAR,U1,"DUOLINGO_USERNAME@42, DUOLINGO_PASSWORD@43, DUOLINGO_JWT@44",secrets@42-44 -> env cua step Execute Python script@41-44 -> uv run main.py@40,khong xac dinh duoc,"noi dung main.py khong co trong Dataset A; script ghi ra data/duolingo-progress.json duoc commit@54 va deploy len GitHub Pages@66, nen phai doc main.py moi biet co secret trong output khong; GIT_AUTHOR_NAME/EMAIL@55-56 -> EndBug/add-and-commit chi la metadata commit",nhi,v1.0
A0086,B4_SPOTCHECK,UNCLEAR,U2,"DOCKER_USERNAME@71, DOCKER_PASSWORD@72",secrets.DOCKER_USERNAME@71 + secrets.DOCKER_PASSWORD@72 -> with.username/password cua third-party action peter-evans/dockerhub-description@v4@69,khong xac dinh duoc,"noi dung action peter-evans/dockerhub-description khong co trong Dataset A, pin theo tag khong phai SHA; duong khac dong: cung credential@34-35 -> docker/login-action@32 la sink loai tru muc 2.2 (N4/N3); curl@40,56 khong mang secret",nhi,v1.0
A0087,B3_UNCLEAR,UNCLEAR,U2,REPOSITORY_TOKEN@62,secrets.REPOSITORY_TOKEN@62 -> with.token cua benc-uk/workflow-dispatch@7a027648b88c2413826b6ddd6c76114894dc5ec4@58,khong xac dinh duoc,"noi dung action benc-uk/workflow-dispatch khong co trong Dataset A; curl@36,37,39,45 chi GET api.github.com/hub.docker.com/raw.githubusercontent khong mang secret; WORKFLOW_UPDATE_BASE64JSON@41,49 la du lieu version khong phai secret",nhi,v1.0
A0092,B4_SPOTCHECK,NO_EXFIL,N3,"GITHUB_TOKEN@56 (lap lai @215,267,305,358,406,578,641,706)",secrets.GITHUB_TOKEN@56 -> with.password cua docker/login-action@52,"docker/login-action -> ghcr.io (sink loai tru muc 2.2, xac thuc voi dung chu so huu)","secret duy nhat trong file la GITHUB_TOKEN, moi lan xuat hien deu chi vao docker/login-action; cac token trong lenh vulnapi@234,281,320,373,420,594 la gia tri test hardcode (abcdef1234, valid-token) va JWT sinh tu container, khong phai secret; moi scan deu tro toi localhost",nhi,v1.0
A0093,B3_UNCLEAR,UNCLEAR,U5,"AGENTHUB_INTEGRATION_ARTIFACT_TOKEN@122, AGENTHUB_INTEGRATION_ARTIFACT_URL@121, MC_TOKEN@116, GW_TOKEN@118, MCP_TOKEN@120","secrets.AGENTHUB_INTEGRATION_ARTIFACT_TOKEN@122 -> env ARTIFACT_TOKEN@122 -> $artifactHeaders Authorization Bearer@149 -> Invoke-WebRequest@150,156,158,161 ; secrets MC/GW/MCP_TOKEN@116,118,120 -> Set-Content ghi ra file token@131-133 -> *_TOKEN_FILE@143-145 -> python scripts/runner_deployment_preflight.py --http-probe@148","Invoke-WebRequest@150,156,158,161 -> $env:ARTIFACT_URL@155 ; ARTIFACT_URL la secrets@121 nen khong giai duoc tinh",cac endpoint MC_URL/GW_URL/MCP_URL/ARTIFACT_URL deu la secret nen khong xac dinh duoc chung co phai ha tang chinh chu hay ben thu ba; token gui o header Authorization la xac thuc nhung khong chot duoc N4 hay E4; ngoai ra ba token duoc ghi ra file@131-133 roi chuyen cho scripts/runner_deployment_preflight.py@148 la script repo khong co trong Dataset A,nhi,v1.0
A0096,B3_UNCLEAR,NO_EXFIL,N4,"DOCKER_USERNAME@231, DOCKER_PASSWORD@232","secrets@231-232 -> env cua step@230-232 -> os.environ.get@210-211 -> DockerHubCleaner(username, password)@220 -> self.username/self.password@104-105 -> requests.post json body@111-112","requests.post@111 -> https://hub.docker.com/v2/users/login/@108 (hardcode, sink loai tru muc 2.2)","credential gui trong body de dang nhap dung Docker Hub la chu so huu; api_base hardcode@108 khong phai bien; token tra ve@114 chi dung cho header Authorization toi cung API do@120,136",nhi,v1.0
A0098,B3_UNCLEAR,UNCLEAR,U1,"OTELBOT_DOCS_PRIVATE_KEY@57, steps.otelbot-token.outputs.token@68",secrets.OTELBOT_DOCS_PRIVATE_KEY@57 -> with.private-key cua actions/create-github-app-token@51 -> steps.otelbot-token.outputs.token@68 -> env GH_TOKEN@68 -> .github/scripts/update-registry-versions.sh@63,khong xac dinh duoc,"noi dung update-registry-versions.sh khong co trong Dataset A; script co GH_TOKEN va GITHUB_TOKEN trong env, comment@67 noi no push branch va goi gh nhung khong xac nhan duoc tinh",nhi,v1.0
A0099,B3_UNCLEAR,UNCLEAR,U1,"CLOUDFLARE_API_TOKEN@118, HCLOUD_TOKEN@121, INFISICAL_TOKEN@124, SSH_PRIVATE_KEY@678, GH_MIRROR_TOKEN@679, R2_SECRET_ACCESS_KEY@707","~20 secrets -> env TF_VAR_* cap job@117-142 -> ke thua moi step -> .github/scripts/log-to-d1.sh@190,919,1013,1336 va sync-deployed-state.sh@1326 va python -m nexus_deploy run-pipeline@781, select-capacity@436",khong xac dinh duoc,"noi dung log-to-d1.sh, sync-deployed-state.sh va package nexus_deploy khong co trong Dataset A, tat ca deu chay voi ~20 secret trong env cap job; cac duong doc duoc deu dong: HCLOUD_TOKEN@469,645 -> header Authorization toi api.hetzner.cloud (N4), RESEND_API_KEY@1394 -> header toi api.resend.com (N4), R2 creds@443-444 -> tofu backend (N4)",nhi,v1.0
A0101,B3_UNCLEAR,UNCLEAR,U2,CODECOV_TOKEN@68,secrets.CODECOV_TOKEN@68 -> with.codecov-token cua composite action ./.github/actions/test-suite@59,khong xac dinh duoc,"noi dung .github/actions/test-suite/action.yml khong co trong Dataset A; day la secret duy nhat trong file, cac job mypy/lint/dx-pack/docs-deploy deu khong co secret nao",nhi,v1.0
A0105,B3_UNCLEAR,UNCLEAR,U1,"DISCORD_RELEASE_WEBHOOK@381, TAURI_SIGNING_PRIVATE_KEY@98, WINDOWS_SIGN_STOREPASS@107, POSTHOG_KEY@110",secrets.DISCORD_RELEASE_WEBHOOK@381 -> env cap job publish@375-395 -> pnpm exec semantic-release@453 -> successCmd trong .releaserc.json -> post-release-discord.mjs ; secrets.TAURI_SIGNING_PRIVATE_KEY@98 + WINDOWS_SIGN_*@103-107 -> env cap job@93-110 -> bash _tools/scripts/desktop/build-desktop.sh@120,khong xac dinh duoc,"noi dung post-release-discord.mjs, .releaserc.json, build-desktop.sh, sign-windows.sh, release-plan.mjs@74 deu khong co trong Dataset A; secret dat o env cap job nen moi script ke thua; docker/login-action@432 va GITHUB_TOKEN@436 -> ghcr.io chinh chu la sink loai tru (N3)",nhi,v1.0
A0106,B3_UNCLEAR,NO_EXFIL,N1,-,-,-,"toan file khong co ${{ secrets.* }} nao, khong co secrets: inherit, khong co GITHUB_TOKEN; Invoke-WebRequest@96,102,104,118 va git clone@205 chi tai dependency cong khai",nhi,v1.0
A0108,B6_TARGETED_AUDIT,NO_EXFIL,N5,"STAGING_URL@39, STAGING_URL@44",secrets.STAGING_URL@39 -> URL cua curl@39 ; secrets.STAGING_URL@44 -> env BASE_URL@44 -> npx playwright test@45,"curl@39 -> $STAGING_URL (secret la dich den, khong phai du lieu gui di)","secret chi dong vai tro dia chi dich va base URL cho test, khong co gia tri secret nao nam trong payload gui di; upload-artifact@48 chi day trace khi test fail",nhi,v1.0
A0109,B3_UNCLEAR,UNCLEAR,U5,"RELEASE_KEY@818 (tu DEV_RELEASE_KEY@146 hoac PROD_RELEASE_KEY@147), COORDINATOR_URL@817","secrets.PROD_RELEASE_KEY@147 -> env@147 -> vong lap resolve@161-177 -> echo ""${outkey}=${value}"" >> $GITHUB_ENV@176 -> env.release_key@818 -> $RELEASE_KEY -> header Authorization Bearer@850 -> curl@849",curl@849 -> ${COORDINATOR_URL}/v1/releases ; COORDINATOR_URL cung la secret@144-145 nen khong giai duoc tinh,khong xac dinh duoc coordinator endpoint la ha tang chinh chu hay ben thu ba nen khong chot duoc N4 hay E4; cac duong khac dong: R2 creds@793-794 -> aws s3 cp toi $R2_ENDPOINT cung la secret nhung la S3 upload artifact khong phai secret content; APPLE_ID/APPLE_APP_PASSWORD@631-632 -> xcrun notarytool toi Apple la N4; APPLE_CERTIFICATE_P12@204 -> base64 decode -> file@209 -> security import@215 la N2,nhi,v1.0
A0111,B6_TARGETED_AUDIT,NO_EXFIL,N4,"COOLIFY_TOKEN@71, DOCKERHUB_TOKEN@41, DOCKERHUB_USERNAME@20",secrets.COOLIFY_TOKEN@71 -> header Authorization Bearer@71 -> curl@70 ; secrets.DOCKERHUB_TOKEN@41 -> with.password cua docker/login-action@37,"curl@70 -> https://coolify.reloop.sh/api/v1/deploy (hardcode, self-hosted cua reloop-labs) ; docker/login-action@37 -> docker.io (sink loai tru muc 2.2)","COOLIFY_TOKEN xac thuc voi dung Coolify tu host cua to chuc so huu repo, endpoint hardcode doc duoc; DOCKERHUB_TOKEN vao docker/login-action la sink loai tru; DOCKERHUB_USERNAME@20 chi la ten image khong phai du lieu gui di",nhi,v1.0
A0113,B4_SPOTCHECK,NO_EXFIL,N6,"CPAC_PRIVATE_REPO_TOKEN@46, GH_USR_TESTING_TOKEN@47","secrets@46-47 -> env GITHUB_TOKEN/GITHUB_USER cua step ""configure conda and install code""@45-47 ; block run@49-76 chi co conda install/uninstall va pip install git+https://github.com/ArgonneCPAC/*.git@69-74, khong lenh nao tham chieu $GITHUB_TOKEN hay $GITHUB_USER",-,"hai secret dat trong env nhung khong lenh nao trong block run su dung chung; pip install git+ tro toi repo cong khai ArgonneCPAC/AstroPatty, la sink loai tru muc 2.2; wget@90-103 tai data tu github releases khong mang secret",nhi,v1.0
A0117,B4_SPOTCHECK,NO_EXFIL,N4,"DOCKER_PASSWORD@103, ALIYUN_DOCKER_PASSWORD@111","secrets.DOCKER_PASSWORD@103 -> with.password cua docker/login-action@100 (lap lai @248,353) ; secrets.ALIYUN_DOCKER_PASSWORD@111 -> with.password cua docker/login-action@107 (lap lai @255,361)","docker/login-action -> Docker Hub (zrlog@102) va registry.cn-chengdu.aliyuncs.com (90xchun@110), deu la sink loai tru muc 2.2","ca hai credential chi vao docker/login-action de xac thuc voi dung registry so huu chung, username hardcode; docker push@397 va buildx imagetools@157,273,279 dung phien dang nhap khong tham chieu secret; cosign sign@334,424 dung keyless OIDC (id-token: write@27) khong co secret",nhi,v1.0
A0120,B6_TARGETED_AUDIT,NO_EXFIL,N4,"COOLIFY_TOKEN@76, DOCKERHUB_TOKEN@45, DOCKERHUB_USERNAME@21",secrets.COOLIFY_TOKEN@76 -> header Authorization Bearer@76 -> curl@75 ; secrets.DOCKERHUB_TOKEN@45 -> with.password cua docker/login-action@41,"curl@75 -> https://coolify.reloop.sh/api/v1/deploy (hardcode, self-hosted cua reloop-labs) ; docker/login-action@41 -> docker.io (sink loai tru muc 2.2)","COOLIFY_TOKEN xac thuc voi dung Coolify tu host cua to chuc so huu repo, endpoint hardcode doc duoc; DOCKERHUB_TOKEN vao docker/login-action la sink loai tru; DOCKERHUB_USERNAME@21 chi dung dat ten image",nhi,v1.0
