review_id,repo,filename,stratum,secret_names,sink_families,embedded_languages,local_path,snippet_file,annotator1_label,annotator1_source,annotator1_sink,annotator1_note,annotator2_label,annotator2_source,annotator2_sink,annotator2_note,final_label,adjudication_note
A0011,Juwan-Hwang/Zephyr,update-aur.yml,S1_secret_and_sink,AUR_SSH_PRIVATE_KEY,http_cli,bash,data/raw/Juwan-Hwang__Zephyr__update-aur.yml,data/review_snippets/A0011.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N4] src=AUR_SSH_PRIVATE_KEY@27 | path=secrets.AUR_SSH_PRIVATE_KEY@27 -> echo ghi ra ~/.ssh/id_ed25519@27 -> git clone/push qua ssh@33,75 | sink=ssh://aur@aur.archlinux.org@33 (dich co dinh, hardcode) | why=khoa SSH dung de xac thuc voi AUR bang khoa cua chinh maintainer, dich hardcode khong phai bien; khoa ghi ra file tren runner khong gui di; curl@19 tai .deb tu github releases khong mang secret; ssh-keyscan@29 chi lay host key | basis=arbiter:nhi | rev=v1.0"
A0012,abeggled/openbridgeserver,lxc-template.yml,S1_secret_and_sink,GITHUB_TOKEN|OPS_REPO_TOKEN|choice|token_urlsafe,http_cli,bash|python,data/raw/abeggled__openbridgeserver__lxc-template.yml,data/review_snippets/A0012.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0013,osism/openstack-image-manager,add-to-project.yml,S2_secret_only,ADD_TO_PROJECT_PAT,,,data/raw/osism__openstack-image-manager__add-to-project.yml,data/review_snippets/A0013.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),UNCLEAR,"[U2] src=ADD_TO_PROJECT_PAT@17 | path=secrets.ADD_TO_PROJECT_PAT@17 -> secrets: cua reusable workflow osism/.github/.github/workflows/add-to-project.yml@main@15 | sink=khong xac dinh duoc | why=reusable workflow o repo khac, noi dung khong co trong Dataset A; file nay khong co step run: nao | basis=arbiter:nhi | rev=v1.0"
A0014,DresdenGman/EPSILON-trading-simulator,impact-snapshot.yml,S3_sink_only,,http_cli,bash,data/raw/DresdenGman__EPSILON-trading-simulator__impact-snapshot.yml,data/review_snippets/A0014.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0015,innate-inc/innate-os,format.yml,S4_neither,,,bash,data/raw/innate-inc__innate-os__format.yml,data/review_snippets/A0015.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0016,loteran/Arctis-Sound-Manager,ppa-upload.yaml,S1_secret_and_sink,GPG_PRIVATE_KEY,http_cli,bash|python,data/raw/loteran__Arctis-Sound-Manager__ppa-upload.yaml,data/review_snippets/A0016.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0017,gonzalezpazmonica/pm-workspace,pr-guardian.yml,S1_secret_and_sink,GITHUB_TOKEN,http_cli|raw_socket,bash|javascript|python,data/raw/gonzalezpazmonica__pm-workspace__pr-guardian.yml,data/review_snippets/A0017.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0018,mathematic-inc/ts-japi,hk.yml,S4_neither,,,bash,data/raw/mathematic-inc__ts-japi__hk.yml,data/review_snippets/A0018.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0019,Significant-Gravitas/AutoGPT,classic-python-checks.yml,S3_sink_only,,http_cli,bash,data/raw/Significant-Gravitas__AutoGPT__classic-python-checks.yml,data/review_snippets/A0019.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0020,RoboVerseOrg/RoboVerse,metasim-premerge.yml,S1_secret_and_sink,EC2_SSH_KEY|GITHUB_TOKEN,transfer,bash,data/raw/RoboVerseOrg__RoboVerse__metasim-premerge.yml,data/review_snippets/A0020.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0021,nebulastream/nebulastream,build_and_test.yml,S2_secret_only,CODECOV_TOKEN|DOCKER_SECRET|DOCKER_USER_NAME|SCCACHE_CACHE_ACCESS_KEY|SCCACHE_CACHE_BUCKET|SCCACHE_CACHE_ENDPOINT|SCCACHE_CACHE_SECRET_KEY,,bash|python,data/raw/nebulastream__nebulastream__build_and_test.yml,data/review_snippets/A0021.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),UNCLEAR,"[U2] src=SCCACHE_CACHE_ACCESS_KEY@56, SCCACHE_CACHE_SECRET_KEY@57, DOCKER_SECRET@67 | path=secrets@54-57 -> with: cua ./.github/steps/setup-sccache@52 ; secrets@66-67 -> with: cua ./.github/steps/prepare-github@59 | sink=khong xac dinh duoc | why=cac secret deu di vao composite action noi bo repo (.github/steps/*), noi dung action.yml khong co trong Dataset A; cac block run@73-84,93-95,165-177 chi co cmake/ctest/sccache khong cham secret; CODECOV_TOKEN@130 -> codecov-action@126 la sink loai tru muc 2.2 (N3) | basis=arbiter:nhi | rev=v1.0"
A0022,rspatial/terra,lib-compat.yml,S3_sink_only,,http_cli,bash,data/raw/rspatial__terra__lib-compat.yml,data/review_snippets/A0022.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0023,xybrid-ai/xybrid,release-prep.yml,S1_secret_and_sink,BUILDBUDDY_API_KEY|CARGOKIT_PRIVATE_KEY|GITHUB_TOKEN|RELEASE_PAT,node,bash|python,data/raw/xybrid-ai__xybrid__release-prep.yml,data/review_snippets/A0023.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),UNCLEAR,"[U1] src=BUILDBUDDY_API_KEY@278, CARGOKIT_PRIVATE_KEY@349 | path=secrets.BUILDBUDDY_API_KEY@278 -> env@278 -> tools/scripts/write-buildbuddy-rc.sh@279 (lap lai @392,479,596,717,848) ; secrets.CARGOKIT_PRIVATE_KEY@349 + GITHUB_TOKEN@350 -> env@349-350 -> dart run bin/build_tool.dart precompile-binaries@352 (lap lai @669,808) | sink=khong xac dinh duoc | why=noi dung write-buildbuddy-rc.sh va cargokit build_tool.dart khong co trong Dataset A; cac duong con lai deu dong: GITHUB_TOKEN@1037 -> actions/checkout va GH_TOKEN@1145,1221 -> gh release create/upload@1180,1229 trong chinh repo, RELEASE_PAT@1260 -> gh pr create@1287, deu la sink loai tru muc 2.2 (N3) | basis=arbiter:nhi | rev=v1.0"
A0024,kolmafia/kolmafia,build.yml,S1_secret_and_sink,GITHUB_TOKEN|HOMEBREW_KOLMAFIA_TOKEN,http_cli,bash,data/raw/kolmafia__kolmafia__build.yml,data/review_snippets/A0024.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N4] src=HOMEBREW_KOLMAFIA_TOKEN@132, GITHUB_TOKEN@112 | path=secrets.HOMEBREW_KOLMAFIA_TOKEN@132 -> header Authorization token@132 -> curl -X POST@129-133 | sink=curl@129 -> https://api.github.com/repos/kolmafia/homebrew-kolmafia/dispatches@133 (hardcode, repo cua chinh to chuc) | why=token GitHub gui o header de xac thuc voi api.github.com la chu so huu, dich hardcode va la repo cung to chuc kolmafia; body@134 chi chua version tu git tag khong chua secret; GITHUB_TOKEN@112 -> softprops/action-gh-release trong chinh repo (N3) | basis=arbiter:nhi | rev=v1.0"
A0025,fabriziosalmi/nis2-public,nis2.yml,S2_secret_only,INTERNAL_API_CREDS,,bash|python,data/raw/fabriziosalmi__nis2-public__nis2.yml,data/review_snippets/A0025.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0026,lidge-jun/opencodex,cleanup-orphaned-workflows.yml,S2_secret_only,GITHUB_TOKEN,,bash,data/raw/lidge-jun__opencodex__cleanup-orphaned-workflows.yml,data/review_snippets/A0026.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0027,Chieler/Summer-2027-SWE-Internships,daily-search.yml,S4_neither,,,bash|python,data/raw/Chieler__Summer-2027-SWE-Internships__daily-search.yml,data/review_snippets/A0027.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0028,Ameyanagi/ruviz,release.yml,S1_secret_and_sink,CARGO_REGISTRY_TOKEN|GITHUB_TOKEN,http_cli|python,bash|powershell|python,data/raw/Ameyanagi__ruviz__release.yml,data/review_snippets/A0028.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),NO_EXFIL,"[N4] src=CARGO_REGISTRY_TOKEN@615, GITHUB_TOKEN@47 | path=secrets.CARGO_REGISTRY_TOKEN@615 -> --token cua cargo publish@615 (lap lai @746,803,842) | sink=cargo publish@615 -> crates.io | why=token xac thuc voi dung crates.io la chu so huu; GITHUB_TOKEN@47 -> env -> scripts/wait_for_github_checks.py@65 chi doc GitHub API cua chinh repo; GITHUB_TOKEN@1068 -> softprops/action-gh-release trong chinh repo; curl@605,728,771,828 chi GET crates.io API khong mang secret; npm publish@937 dung OIDC khong co secret | basis=arbiter:nhi | rev=v1.0"
A0029,indigoai-us/hq-core,release.yml,S1_secret_and_sink,GITHUB_TOKEN|HQ_AUDIT_BOT_APP_ID|HQ_AUDIT_BOT_PRIVATE_KEY,transfer,bash,data/raw/indigoai-us__hq-core__release.yml,data/review_snippets/A0029.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0030,gentoo-zh/overlay,pkgcheck.yml,S2_secret_only,,,bash,data/raw/gentoo-zh__overlay__pkgcheck.yml,data/review_snippets/A0030.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0031,rogerlew/wepppy,profile-legacy-palouse.yml,S1_secret_and_sink,ADMIN_EMAIL|ADMIN_PASSWORD,http_cli,bash,data/raw/rogerlew__wepppy__profile-legacy-palouse.yml,data/review_snippets/A0031.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),UNCLEAR,"[U1] src=ADMIN_EMAIL@17, ADMIN_PASSWORD@18 | path=secrets@17-18 -> env cap job@15-18 -> ke thua sang moi step -> ./wctl/install.sh@50 va wctl run-test-profile@71 | sink=khong xac dinh duoc | why=ADMIN_EMAIL/ADMIN_PASSWORD dat o env cap job nen moi step deu ke thua; noi dung wctl/install.sh va binary wctl khong co trong Dataset A; curl@57 chi GET /health khong mang secret; upload-artifact@74 chi day log | basis=arbiter:nhi | rev=v1.0"
A0032,opencobra/swiglpk,build-sdist.yml,S3_sink_only,,http_cli|transfer,bash,data/raw/opencobra__swiglpk__build-sdist.yml,data/review_snippets/A0032.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0033,manhpham90vn/Deskhub,codeql.yml,S4_neither,,,bash,data/raw/manhpham90vn__Deskhub__codeql.yml,data/review_snippets/A0033.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0034,azukiazusa1/sapper-blog-app,actionlint.yaml,S3_sink_only,,http_cli,bash,data/raw/azukiazusa1__sapper-blog-app__actionlint.yaml,data/review_snippets/A0034.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0035,ifflagged/Seyoulala,Download-Z.yml,S1_secret_and_sink,GITHUB_TOKEN,http_cli,bash,data/raw/ifflagged__Seyoulala__Download-Z.yml,data/review_snippets/A0035.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0036,SonarSource/slang,build.yml,S4_neither,,,,data/raw/SonarSource__slang__build.yml,data/review_snippets/A0036.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0037,moeru-ai/airi,release-pocket-ios.yml,S1_secret_and_sink,APPLE_DISTRIBUTION_CERT_BASE64|APPLE_DISTRIBUTION_CERT_PASSWORD|APPLE_PROVISIONING_PROFILE_BASE64|APPSTORE_CONNECT_API_ISSUER_ID|APPSTORE_CONNECT_API_KEY|APPSTORE_CONNECT_API_KEY_ID|GITCODE_OWNER|GITCODE_REPO|GITCODE_TOKEN|GITHUB_TOKEN,http_cli,bash,data/raw/moeru-ai__airi__release-pocket-ios.yml,data/review_snippets/A0037.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),UNCLEAR,"[U1] src=GITCODE_TOKEN@176, GITCODE_OWNER@177, GITCODE_REPO@178, GH_TOKEN@175 | path=secrets@175-178 -> env cua step@174-179 -> bash .github/scripts/publish-gitcode-release.sh@180 | sink=khong xac dinh duoc | why=noi dung publish-gitcode-release.sh khong co trong Dataset A, day la buoc day asset sang GitCode (ben thu ba, khong phai GitHub); cac duong khac dong: APPLE_DISTRIBUTION_CERT_BASE64@52 -> base64 decode -> file@59 roi security import@65 chi ghi keychain tren runner (N2), APPSTORE_CONNECT_API_KEY@139 -> apple-actions/upload-testflight-build@134 la xac thuc voi Apple chu so huu (N4) | basis=arbiter:nhi | rev=v1.0"
A0038,digRabbit/gitfinity,test_daily_commit.yml,S2_secret_only,GITHUB_TOKEN,,bash|python,data/raw/digRabbit__gitfinity__test_daily_commit.yml,data/review_snippets/A0038.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0039,Shebyyy/AnymeX-Preview,fork_build_manual.yml,S1_secret_and_sink,AL_CLIENT_ID|AL_CLIENT_SECRET|BOT_API_SECRET|BOT_BASE_URL|CALLBACK_SCHEME|COMMENTS_BASE_URL_TEST|DISCORD_WEBHOOK_BUILDS|GITHUB_TOKEN|GIT_CALLBACK_SCHEME|GIT_CLIENT_ID|GIT_CLIENT_SECRET|GOOGLE_BOOKS_API_KEY|KEYSTORE_BASE64|KEYSTORE_PASSWORD|KEY_ALIAS|MAL_CLIENT_ID|MAL_CLIENT_SECRET|P12_CERTIFICATE|P12_PASSWORD|PROVISIONING_PROFILE|SIMKL_CLIENT_ID|SIMKL_CLIENT_SECRET|TMDB_API_KEY|WATCHIUM_API_TOKEN|WATCHIUM_SERVER_URL,http_cli|powershell,bash|powershell,data/raw/Shebyyy__AnymeX-Preview__fork_build_manual.yml,data/review_snippets/A0039.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0040,mizchi/vibe-lang,flaker-scheduled.yml,S3_sink_only,,http_cli,bash,data/raw/mizchi__vibe-lang__flaker-scheduled.yml,data/review_snippets/A0040.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0041,myfriendqaz/LiveTVCollector,Movies-Bollywood.yml,S2_secret_only,GITHUB_TOKEN,,bash|python,data/raw/myfriendqaz__LiveTVCollector__Movies-Bollywood.yml,data/review_snippets/A0041.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0042,ublue-os/ucore,reusable-build.yml,S1_secret_and_sink,SIGNING_SECRET,http_cli,bash|python,data/raw/ublue-os__ucore__reusable-build.yml,data/review_snippets/A0042.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),NO_EXFIL,"[N4] src=SIGNING_SECRET@778, github.token@161 | path=secrets.SIGNING_SECRET@778 -> env COSIGN_PRIVATE_KEY@778 -> cosign sign --key env://COSIGN_PRIVATE_KEY@795 (lap lai @837/842, @887/890) | sink=cosign sign@795 -> ghcr.io/${{ github.repository_owner }} (registry chinh chu) | why=SIGNING_SECRET chi dung lam khoa ky cosign, chu ky day len GHCR cua chinh to chuc; github.token@161,538,632,643,650,932 -> podman/oras/cosign login ghcr.io la xac thuc voi dung dich vu so huu (N4) va la sink loai tru; GH_TOKEN@973 -> gh release create/edit@996,989 trong chinh repo (N3) | basis=arbiter:nhi | rev=v1.0"
A0043,sl5net/SL5-aura-service,mac_setup.yml,S1_secret_and_sink,GITHUB_TOKEN,http_cli,bash,data/raw/sl5net__SL5-aura-service__mac_setup.yml,data/review_snippets/A0043.txt,NO_EXFIL,,,,UNCLEAR,,,(khong ghi ly do),UNCLEAR,"[U1] src=GITHUB_TOKEN@51 | path=secrets.GITHUB_TOKEN@51 -> env GITHUB_TOKEN@51 -> ./setup/macos_setup.sh@65 | sink=khong xac dinh duoc | why=noi dung setup/macos_setup.sh khong co trong Dataset A nen khong lan duoc duong di; block run@56-65 chi co chmod/echo/pwd/ls; curl@46 la Homebrew installer o step khac, sink loai tru muc 2.2, khong cham toi token | basis=arbiter:nhi | rev=v1.0"
A0044,kingowow/Kingo-vpn,kingo_vpn.yml,S1_secret_and_sink,PAT_TOKEN,http_cli,bash,data/raw/kingowow__Kingo-vpn__kingo_vpn.yml,data/review_snippets/A0044.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N4] src=PAT_TOKEN@103, PAT_TOKEN@19 | path=secrets.PAT_TOKEN@103 -> env PAT_TOKEN@103 -> noi suy vao remote URL git remote set-url origin https://x-access-token:${PAT_TOKEN}@github.com/${{ github.repository }}.git@107 -> git push@111 | sink=git push@111 -> github.com/${{ github.repository }}@107 (chinh repo) | why=PAT xac thuc voi GitHub cua chinh repo; curl@46,48 chi GET tu raw.githubusercontent.com trong danh sach SOURCES hardcode@28-32, khong mang secret; base64@72,80 chi xu ly noi dung config tai ve khong phai secret | basis=arbiter:nhi | rev=v1.0"
A0045,AOSC-Dev/aosc-os-abbs,tum-ci.yml,S1_secret_and_sink,KEY|USER,transfer,bash|javascript,data/raw/AOSC-Dev__aosc-os-abbs__tum-ci.yml,data/review_snippets/A0045.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0046,adamw7/tools,packages-cleanup.yml,S1_secret_and_sink,GITHUB_TOKEN,http_cli,bash,data/raw/adamw7__tools__packages-cleanup.yml,data/review_snippets/A0046.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N4] src=GITHUB_TOKEN@127 | path=secrets.GITHUB_TOKEN@127 -> env GH_TOKEN@127 -> header Authorization Bearer@137 -> curl@135 | sink=curl@135 -> https://api.github.com/${1}/${OWNER}/packages/maven/${PACKAGE}@139 (hardcode api.github.com) | why=token xac thuc voi dung GitHub Packages API la chu so huu, OWNER tu github.repository_owner khong phai secre | basis=arbiter:nhi | rev=v1.0"
A0047,spring-projects/spring-amqp,release.yml,S2_secret_only,ARTIFACTORY_PASSWORD|ARTIFACTORY_USERNAME|CENTRAL_TOKEN_PASSWORD|CENTRAL_TOKEN_USERNAME|DEVELOCITY_ACCESS_KEY|GH_ACTIONS_REPO_TOKEN|GPG_PASSPHRASE|GPG_PRIVATE_KEY|JF_ARTIFACTORY_SPRING,,,data/raw/spring-projects__spring-amqp__release.yml,data/review_snippets/A0047.txt,UNCLEAR,,,(khong ghi ly do),UNCLEAR,,,(khong ghi ly do),UNCLEAR,"[U2] src=GPG_PRIVATE_KEY@27, ARTIFACTORY_PASSWORD@23, CENTRAL_TOKEN_PASSWORD@25 | path=9 secrets@19-27 -> secrets: cua reusable workflow spring-io/spring-github-workflows/.github/workflows/spring-artifactory-gradle-release.yml@main@15 | sink=khong xac dinh duoc | why=toan bo file chi la loi goi reusable workflow o repo khac, khong co step run: nao; noi dung spring-artifactory-gradle-release.yml khong co trong Dataset A | basis=arbiter:nhi | rev=v1.0"
